loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6918,9.856938483547926e-06,1.07,500,,,,,,,,,,,,,
,,1.07,500,0.6916499733924866,0.5259661835748792,0.5328781890046712,0.8459783228750714,0.6538800705467372,8.0022,413.887,51.736,,,,,
0.6891,9.713876967095852e-06,2.15,1000,,,,,,,,,,,,,
,,2.15,1000,0.6903690695762634,0.5289855072463768,0.532220367278798,0.9092983456930975,0.6714406065711878,5.2853,626.642,78.33,,,,,
0.6869,9.570815450643777e-06,3.22,1500,,,,,,,,,,,,,
,,3.22,1500,0.6895086765289307,0.532608695652174,0.5335515548281505,0.9298345693097547,0.678036605657238,5.2942,625.586,78.198,,,,,
0.6858,9.427753934191704e-06,4.29,2000,,,,,,,,,,,,,
,,4.29,2000,0.6887257099151611,0.5368357487922706,0.536126690861102,0.9269823160296634,0.6793478260869565,5.2968,625.278,78.16,,,,,
0.6839,9.284692417739628e-06,5.36,2500,,,,,,,,,,,,,
,,5.36,2500,0.6880865693092346,0.5431763285024155,0.5398406374501992,0.9275527666856817,0.6824763903462749,5.3084,623.917,77.99,,,,,
0.6818,9.141630901287555e-06,6.44,3000,,,,,,,,,,,,,
,,6.44,3000,0.6876844167709351,0.543780193236715,0.5403064623584277,0.9252709640616087,0.6822292323869611,5.2982,625.12,78.14,,,,,
0.6826,8.99856938483548e-06,7.51,3500,,,,,,,,,,,,,
,,7.51,3500,0.6869032979011536,0.5461956521739131,0.5422012153950033,0.9161437535653166,0.6812301166489926,5.3113,623.571,77.946,,,,,
0.6807,8.855507868383405e-06,8.58,4000,,,,,,,,,,,,,
,,8.58,4000,0.686340868473053,0.5486111111111112,0.5439972714870396,0.9098687963491158,0.6808964781216649,5.2912,625.948,78.244,,,,,
0.6806,8.712446351931331e-06,9.66,4500,,,,,,,,,,,,,
,,9.66,4500,0.6858394742012024,0.5498188405797102,0.544771018455229,0.9092983456930975,0.6813421671297285,5.2949,625.508,78.188,,,,,
0.6787,8.569384835479256e-06,10.73,5000,,,,,,,,,,,,,
,,10.73,5000,0.6853504776954651,0.5513285024154589,0.5457348406988695,0.9087278950370793,0.6819349315068493,5.3079,623.977,77.997,,,,,
0.6784,8.426323319027183e-06,11.8,5500,,,,,,,,,,,,,
,,11.8,5500,0.6848578453063965,0.5516304347826086,0.546079779917469,0.905875641756988,0.6813988414503326,5.2918,625.875,78.234,,,,,
0.6782,8.283261802575108e-06,12.88,6000,,,,,,,,,,,,,
,,12.88,6000,0.6843214631080627,0.5507246376811594,0.5460869565217391,0.8956075299486594,0.6784788245462402,5.3109,623.623,77.953,,,,,
0.6764,8.140486409155937e-06,13.95,6500,,,,,,,,,,,,,
,,13.95,6500,0.6839413642883301,0.5528381642512077,0.5472550382209868,0.8984597832287508,0.6801986611962858,5.3077,623.994,77.999,,,,,
0.6764,7.997424892703864e-06,15.02,7000,,,,,,,,,,,,,
,,15.02,7000,0.6835120916366577,0.5543478260869565,0.5485113835376533,0.8933257273245864,0.6796875,5.3109,623.618,77.952,,,,,
0.6757,7.854363376251789e-06,16.09,7500,,,,,,,,,,,,,
,,16.09,7500,0.6832048296928406,0.5546497584541062,0.5486354093771868,0.894466628636623,0.6801127738017784,5.3061,624.192,78.024,,,,,
0.6756,7.711301859799715e-06,17.17,8000,,,,,,,,,,,,,
,,17.17,8000,0.6826915144920349,0.5552536231884058,0.549645390070922,0.8841985168282943,0.6778919746337196,5.3068,624.109,78.014,,,,,
0.675,7.56824034334764e-06,18.24,8500,,,,,,,,,,,,,
,,18.24,8500,0.682317852973938,0.5558574879227053,0.5501066098081023,0.8830576155162578,0.6779067221370703,5.2902,626.066,78.258,,,,,
0.6752,7.42546494992847e-06,19.31,9000,,,,,,,,,,,,,
,,19.31,9000,0.6820081472396851,0.5561594202898551,0.5504096900605628,0.8813462635482031,0.6776315789473684,5.3066,624.129,78.016,,,,,
0.6726,7.282403433476396e-06,20.39,9500,,,,,,,,,,,,,
,,20.39,9500,0.681826114654541,0.5546497584541062,0.549290780141844,0.8836280661722761,0.6774546249726656,5.3001,624.898,78.112,,,,,
0.6739,7.139341917024321e-06,21.46,10000,,,,,,,,,,,,,
,,21.46,10000,0.681421160697937,0.5585748792270532,0.5522441651705565,0.8773531089560753,0.6778316438959894,5.3101,623.72,77.965,,,,,
0.6729,6.9962804005722464e-06,22.53,10500,,,,,,,,,,,,,
,,22.53,10500,0.6810997128486633,0.5582729468599034,0.5524981897175959,0.8705077010838562,0.6759689922480621,5.2847,626.717,78.34,,,,,
0.6721,6.853505007153076e-06,23.61,11000,,,,,,,,,,,,,
,,23.61,11000,0.6809452176094055,0.5585748792270532,0.5523946705077422,0.8750713063320023,0.6772626931567329,5.2964,625.328,78.166,,,,,
0.6732,6.710443490701002e-06,24.68,11500,,,,,,,,,,,,,
,,24.68,11500,0.6806821227073669,0.5582729468599034,0.552158273381295,0.8756417569880205,0.6772556805647474,5.3009,624.8,78.1,,,,,
0.6713,6.567381974248928e-06,25.75,12000,,,,,,,,,,,,,
,,25.75,12000,0.6804021000862122,0.5600845410628019,0.5538965768390386,0.867655447803765,0.6761502556123584,5.3136,623.308,77.914,,,,,
0.6726,6.4243204577968535e-06,26.82,12500,,,,,,,,,,,,,
,,26.82,12500,0.6801823973655701,0.5634057971014492,0.5560423512230741,0.8687963491158015,0.6780943900267141,5.2901,626.077,78.26,,,,,
0.6716,6.281258941344779e-06,27.9,13000,,,,,,,,,,,,,
,,27.9,13000,0.6799752712249756,0.563707729468599,0.5563277249451354,0.867655447803765,0.6779585469133053,5.3018,624.694,78.087,,,,,
0.6714,6.138483547925609e-06,28.97,13500,,,,,,,,,,,,,
,,28.97,13500,0.6797383427619934,0.5655193236714976,0.5575091575091575,0.8682258984597833,0.6790095917912112,5.3044,624.385,78.048,,,,,
0.6709,5.995422031473535e-06,30.04,14000,,,,,,,,,,,,,
,,30.04,14000,0.6795756816864014,0.5634057971014492,0.5564130834252113,0.8636622932116372,0.6767992847563702,5.3067,624.115,78.014,,,,,
0.6702,5.8523605150214605e-06,31.12,14500,,,,,,,,,,,,,
,,31.12,14500,0.6794247031211853,0.563707729468599,0.5565760470242469,0.8642327438676555,0.6770949720670392,5.2957,625.41,78.176,,,,,
0.6702,5.709298998569386e-06,32.19,15000,,,,,,,,,,,,,
,,32.19,15000,0.679178774356842,0.5649154589371981,0.5578206078576724,0.8585282373074729,0.6762525275219053,5.3056,624.246,78.031,,,,,
0.6702,5.5665236051502145e-06,33.26,15500,,,,,,,,,,,,,
,,33.26,15500,0.6790831685066223,0.5646135265700483,0.5575286718460969,0.8596691386195094,0.6763913824057449,5.2944,625.567,78.196,,,,,
0.669,5.42346208869814e-06,34.33,16000,,,,,,,,,,,,,
,,34.33,16000,0.6789137125015259,0.5670289855072463,0.5593157307549275,0.8579577866514546,0.6771724448446645,5.3,624.909,78.114,,,,,
0.6703,5.280400572246066e-06,35.41,16500,,,,,,,,,,,,,
,,35.41,16500,0.6787497997283936,0.5673309178743962,0.5596569724086503,0.8562464346833999,0.6768883878241263,5.3014,624.745,78.093,,,,,
0.6684,5.1373390557939916e-06,36.48,17000,,,,,,,,,,,,,
,,36.48,17000,0.6786456108093262,0.5673309178743962,0.5597014925373134,0.8556759840273817,0.6767426122264831,5.2911,625.962,78.245,,,,,
0.6686,4.9945636623748215e-06,37.55,17500,,,,,,,,,,,,,
,,37.55,17500,0.6785663962364197,0.5676328502415459,0.5597765363128492,0.8573873359954364,0.6773321315908067,5.2918,625.873,78.234,,,,,
0.6706,4.851502145922747e-06,38.63,18000,,,,,,,,,,,,,
,,38.63,18000,0.6783307194709778,0.5691425120772947,0.5611402850712678,0.8533941814033086,0.6770762615976464,5.288,626.326,78.291,,,,,
0.6681,4.708440629470673e-06,39.7,18500,,,,,,,,,,,,,
,,39.7,18500,0.6782388687133789,0.5694444444444444,0.5612588984638441,0.8545350827153452,0.6775214834916328,5.2813,627.121,78.39,,,,,
0.6686,4.565379113018598e-06,40.77,19000,,,,,,,,,,,,,
,,40.77,19000,0.6781115531921387,0.5694444444444444,0.5615355664283026,0.8511123787792356,0.6766439909297053,5.2797,627.309,78.414,,,,,
0.6688,4.4226037195994285e-06,41.85,19500,,,,,,,,,,,,,
,,41.85,19500,0.6780012845993042,0.5709541062801933,0.5625942684766214,0.8511123787792356,0.6774120317820659,5.2846,626.731,78.341,,,,,
0.6681,4.279542203147353e-06,42.92,20000,,,,,,,,,,,,,
,,42.92,20000,0.6778887510299683,0.5715579710144928,0.5630188679245283,0.8511123787792356,0.6777197365432659,5.2854,626.636,78.329,,,,,
0.668,4.136480686695279e-06,43.99,20500,,,,,,,,,,,,,
,,43.99,20500,0.6777731776237488,0.5718599033816425,0.5634229458538432,0.8488305761551626,0.6772872098315885,5.2966,625.311,78.164,,,,,
0.6684,3.993419170243205e-06,45.06,21000,,,,,,,,,,,,,
,,45.06,21000,0.6776484847068787,0.5736714975845411,0.5647058823529412,0.8488305761551626,0.6782133090246126,5.2918,625.87,78.234,,,,,
0.6677,3.850643776824035e-06,46.14,21500,,,,,,,,,,,,,
,,46.14,21500,0.6775602102279663,0.5751811594202898,0.5658796648895659,0.8476896748431261,0.6786937656999315,5.3051,624.309,78.039,,,,,
0.6673,3.7075822603719604e-06,47.21,22000,,,,,,,,,,,,,
,,47.21,22000,0.6775112152099609,0.5745772946859904,0.5655487804878049,0.8465487735310896,0.678090015992689,5.2932,625.704,78.213,,,,,
0.6679,3.5645207439198857e-06,48.28,22500,,,,,,,,,,,,,
,,48.28,22500,0.6774441599845886,0.5745772946859904,0.5654490106544902,0.8476896748431261,0.6783839306094499,5.2838,626.818,78.352,,,,,
0.668,3.4214592274678114e-06,49.36,23000,,,,,,,,,,,,,
,,49.36,23000,0.6773170828819275,0.5751811594202898,0.5660809778456837,0.845407872219053,0.6781056966369251,5.2927,625.763,78.22,,,,,
0.6664,3.278397711015737e-06,50.43,23500,,,,,,,,,,,,,
,,50.43,23500,0.6772502064704895,0.5760869565217391,0.5667304015296367,0.845407872219053,0.6785714285714286,5.2961,625.361,78.17,,,,,
0.6687,3.1356223175965666e-06,51.5,24000,,,,,,,,,,,,,
,,51.5,24000,0.6771868467330933,0.5751811594202898,0.566030534351145,0.8459783228750714,0.6782529156185685,5.2942,625.585,78.198,,,,,
0.6662,2.9925608011444923e-06,52.58,24500,,,,,,,,,,,,,
,,52.58,24500,0.677131712436676,0.5760869565217391,0.5667814772292384,0.8448374215630348,0.678424186898763,5.2986,625.069,78.134,,,,,
0.668,2.849499284692418e-06,53.65,25000,,,,,,,,,,,,,
,,53.65,25000,0.6770340800285339,0.5757850241545893,0.5669745958429562,0.8402738163148887,0.6770857274189843,5.3011,624.773,78.097,,,,,
0.6662,2.7064377682403437e-06,54.72,25500,,,,,,,,,,,,,
,,54.72,25500,0.6769894361495972,0.5766908212560387,0.5675779745860609,0.840844266970907,0.6777011494252874,5.2924,625.807,78.226,,,,,
0.6665,2.5636623748211732e-06,55.79,26000,,,,,,,,,,,,,
,,55.79,26000,0.6769062876701355,0.5754830917874396,0.566859344894027,0.8391329150028523,0.6766329346826128,5.3049,624.324,78.04,,,,,
0.6671,2.420600858369099e-06,56.87,26500,,,,,,,,,,,,,
,,56.87,26500,0.6768410801887512,0.5754830917874396,0.5669109139992287,0.838562464346834,0.6764841233317993,5.2927,625.768,78.221,,,,,
0.667,2.2775393419170242e-06,57.94,27000,,,,,,,,,,,,,
,,57.94,27000,0.6768048405647278,0.5745772946859904,0.5662557781201849,0.838562464346834,0.6760174752816739,5.3022,624.643,78.08,,,,,
0.667,2.13447782546495e-06,59.01,27500,,,,,,,,,,,,,
,,59.01,27500,0.6767372488975525,0.5754830917874396,0.5669625627170977,0.8379920136908158,0.6763351749539596,5.2867,626.473,78.309,,,,,
