loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6411,9.892703862660945e-06,1.07,500,,,,,,,,,,,,,
,,1.07,500,0.641042947769165,0.6464371980676329,0.6787469287469288,0.6303479749001711,0.6536527654540077,8.2497,401.47,50.184,,,,,
0.5923,9.785407725321889e-06,2.15,1000,,,,,,,,,,,,,
,,2.15,1000,0.6370579600334167,0.6506642512077294,0.7058011049723757,0.583000570450656,0.6385504529834427,5.6814,582.958,72.87,,,,,
0.5585,9.678111587982833e-06,3.22,1500,,,,,,,,,,,,,
,,3.22,1500,0.6662387847900391,0.6207729468599034,0.7396335583413693,0.4375356531660011,0.549820788530466,5.6603,585.13,73.141,,,,,
0.5218,9.570815450643777e-06,4.29,2000,,,,,,,,,,,,,
,,4.29,2000,0.6513774394989014,0.6645531400966184,0.6912991656734208,0.6617227609811751,0.6761877003788983,5.6683,584.298,73.037,,,,,
0.4821,9.4637339055794e-06,5.36,2500,,,,,,,,,,,,,
,,5.36,2500,0.6682989597320557,0.6606280193236715,0.6957062850031114,0.6377638334284085,0.6654761904761904,5.6689,584.244,73.031,,,,,
0.4337,9.356652360515022e-06,6.44,3000,,,,,,,,,,,,,
,,6.44,3000,0.6910245418548584,0.6760265700483091,0.687018701870187,0.7124928693667998,0.6995239428731448,5.6664,584.499,73.062,,,,,
0.3851,9.249356223175966e-06,7.51,3500,,,,,,,,,,,,,
,,7.51,3500,0.7068175077438354,0.6823671497584541,0.7148988350705089,0.6651454649172847,0.6891252955082742,5.6603,585.128,73.141,,,,,
0.3392,9.14206008583691e-06,8.58,4000,,,,,,,,,,,,,
,,8.58,4000,0.7500780820846558,0.669987922705314,0.689873417721519,0.683970336565887,0.6869091950730449,5.6723,583.887,72.986,,,,,
0.2931,9.034763948497854e-06,9.66,4500,,,,,,,,,,,,,
,,9.66,4500,0.7698760628700256,0.6890096618357487,0.7249533291848165,0.6645750142612664,0.6934523809523809,5.7192,579.104,72.388,,,,,
0.2483,8.927682403433478e-06,10.73,5000,,,,,,,,,,,,,
,,10.73,5000,0.8445298671722412,0.6721014492753623,0.6940081442699244,0.6805476326297776,0.6872119815668204,5.6771,583.391,72.924,,,,,
0.2173,8.820600858369099e-06,11.8,5500,,,,,,,,,,,,,
,,11.8,5500,0.8463568687438965,0.686292270531401,0.7054085155350979,0.6993725042783799,0.702377542251504,5.6957,581.487,72.686,,,,,
0.1877,8.713304721030043e-06,12.88,6000,,,,,,,,,,,,,
,,12.88,6000,0.8897228837013245,0.6778381642512077,0.7125154894671624,0.6560182544209926,0.6831006831006832,5.695,581.566,72.696,,,,,
0.1593,8.606008583690987e-06,13.95,6500,,,,,,,,,,,,,
,,13.95,6500,0.9394565224647522,0.6871980676328503,0.7189981673793525,0.6714204221334854,0.6943952802359882,5.7025,580.796,72.599,,,,,
0.1389,8.498712446351933e-06,15.02,7000,,,,,,,,,,,,,
,,15.02,7000,0.9971367120742798,0.6932367149758454,0.6779333655239015,0.8009127210496292,0.7343096234309624,5.674,583.719,72.965,,,,,
0.1293,8.391630901287554e-06,16.09,7500,,,,,,,,,,,,,
,,16.09,7500,1.0149407386779785,0.6968599033816425,0.7023230686115614,0.7415858528237308,0.7214206437291899,5.6927,581.798,72.725,,,,,
0.1095,8.284334763948498e-06,17.17,8000,,,,,,,,,,,,,
,,17.17,8000,1.0679696798324585,0.7022946859903382,0.7295032914422501,0.6953793496862521,0.7120327102803738,5.672,583.918,72.99,,,,,
0.0969,8.177038626609442e-06,18.24,8500,,,,,,,,,,,,,
,,18.24,8500,1.1208773851394653,0.6980676328502415,0.7491727332892124,0.6457501426126641,0.6936274509803921,5.6649,584.651,73.081,,,,,
0.0889,8.069742489270388e-06,19.31,9000,,,,,,,,,,,,,
,,19.31,9000,1.1870810985565186,0.6923309178743962,0.7463087248322148,0.6343411294922989,0.6857847671908726,5.6583,585.338,73.167,,,,,
0.0815,7.962660944206008e-06,20.39,9500,,,,,,,,,,,,,
,,20.39,9500,1.1653735637664795,0.7059178743961353,0.7136588041689522,0.742156303479749,0.7276286353467561,5.6995,581.099,72.637,,,,,
0.0742,7.855364806866952e-06,21.46,10000,,,,,,,,,,,,,
,,21.46,10000,1.2162847518920898,0.696256038647343,0.6908533469596321,0.7712492869366799,0.7288409703504043,5.667,584.44,73.055,,,,,
0.0699,7.748068669527896e-06,22.53,10500,,,,,,,,,,,,,
,,22.53,10500,1.2281479835510254,0.6929347826086957,0.6795121951219513,0.7946377638334284,0.7325795424664739,5.6645,584.695,73.087,,,,,
0.0604,7.640772532188842e-06,23.61,11000,,,,,,,,,,,,,
,,23.61,11000,1.2697341442108154,0.7071256038647343,0.6986301369863014,0.7855105533371364,0.7395273899033298,5.6708,584.049,73.006,,,,,
0.0594,7.533690987124465e-06,24.68,11500,,,,,,,,,,,,,
,,24.68,11500,1.3453809022903442,0.6998792270531401,0.7367436057392389,0.6737022247575585,0.7038140643623362,5.6665,584.485,73.061,,,,,
0.0557,7.426394849785409e-06,25.75,12000,,,,,,,,,,,,,
,,25.75,12000,1.3523677587509155,0.7019927536231884,0.707027027027027,0.7461494580718768,0.7260616153205662,5.644,586.813,73.352,,,,,
0.0497,7.319098712446353e-06,26.82,12500,,,,,,,,,,,,,
,,26.82,12500,1.3969097137451172,0.7116545893719807,0.7466007416563659,0.6891043924700513,0.7167012755858796,5.685,582.583,72.823,,,,,
0.0494,7.211802575107296e-06,27.9,13000,,,,,,,,,,,,,
,,27.9,13000,1.5281566381454468,0.6884057971014492,0.7648787656135194,0.5938391329150029,0.6685934489402698,5.6831,582.778,72.847,,,,,
0.0441,7.104721030042919e-06,28.97,13500,,,,,,,,,,,,,
,,28.97,13500,1.428059697151184,0.7158816425120773,0.720173535791757,0.7575584711922418,0.7383931053655824,5.664,584.745,73.093,,,,,
0.0392,6.997639484978541e-06,30.04,14000,,,,,,,,,,,,,
,,30.04,14000,1.470522403717041,0.7158816425120773,0.7265625,0.7427267541357673,0.734555712270804,5.6702,584.111,73.014,,,,,
0.0499,6.890343347639485e-06,31.12,14500,,,,,,,,,,,,,
,,31.12,14500,1.4274789094924927,0.7176932367149759,0.7310734463276836,0.7381631488876212,0.7346011921657678,5.6752,583.595,72.949,,,,,
0.0389,6.78304721030043e-06,32.19,15000,,,,,,,,,,,,,
,,32.19,15000,1.4907076358795166,0.7104468599033816,0.7134408602150538,0.7569880205362236,0.7345696097425963,5.6487,586.334,73.292,,,,,
0.0324,6.675751072961374e-06,33.26,15500,,,,,,,,,,,,,
,,33.26,15500,1.5911492109298706,0.7122584541062802,0.7197802197802198,0.7472903593839133,0.7332773579624965,5.6849,582.598,72.825,,,,,
0.0348,6.568669527896996e-06,34.33,16000,,,,,,,,,,,,,
,,34.33,16000,1.5559179782867432,0.7128623188405797,0.7557397959183674,0.6759840273816314,0.7136404697380307,5.6594,585.221,73.153,,,,,
