loss,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6369,9.73161567364466e-06,0.27,500,,,,,,,,,
,,0.27,500,0.666924238204956,5.7938,571.641,71.455,,,,,
0.6426,9.463231347289318e-06,0.54,1000,,,,,,,,,
,,0.54,1000,0.657680332660675,5.8656,564.648,70.581,,,,,
0.6434,9.194847020933978e-06,0.81,1500,,,,,,,,,
,,0.81,1500,0.6539648175239563,5.8119,569.862,71.233,,,,,
0.6372,8.926462694578637e-06,1.07,2000,,,,,,,,,
,,1.07,2000,0.659578263759613,5.9892,552.996,69.125,,,,,
0.6278,8.658615136876008e-06,1.34,2500,,,,,,,,,
,,1.34,2500,0.6537167429924011,6.0085,551.222,68.903,,,,,
0.6265,8.390230810520667e-06,1.61,3000,,,,,,,,,
,,1.61,3000,0.6545549035072327,6.0141,550.707,68.838,,,,,
0.6275,8.121846484165325e-06,1.88,3500,,,,,,,,,
,,1.88,3500,0.650616466999054,6.2143,532.965,66.621,,,,,
0.619,7.853462157809985e-06,2.15,4000,,,,,,,,,
,,2.15,4000,0.651303768157959,6.1617,537.516,67.19,,,,,
0.623,7.585614600107354e-06,2.42,4500,,,,,,,,,
,,2.42,4500,0.6471772193908691,6.0295,549.296,68.662,,,,,
0.6152,7.317230273752014e-06,2.68,5000,,,,,,,,,
,,2.68,5000,0.65521639585495,6.1913,534.94,66.868,,,,,
0.6195,7.048845947396673e-06,2.95,5500,,,,,,,,,
,,2.95,5500,0.6447626948356628,6.1324,540.083,67.51,,,,,
0.6198,6.780461621041332e-06,3.22,6000,,,,,,,,,
,,3.22,6000,0.6452792882919312,6.0713,545.517,68.19,,,,,
0.6109,6.512614063338701e-06,3.49,6500,,,,,,,,,
,,3.49,6500,0.6469985842704773,6.2097,533.361,66.67,,,,,
0.6104,6.24422973698336e-06,3.76,7000,,,,,,,,,
,,3.76,7000,0.6494410634040833,6.1927,534.822,66.853,,,,,
0.6069,5.97584541062802e-06,4.03,7500,,,,,,,,,
,,4.03,7500,0.6497074961662292,6.2325,531.41,66.426,,,,,
0.6086,5.707461084272678e-06,4.29,8000,,,,,,,,,
,,4.29,8000,0.6440463662147522,6.1758,536.284,67.035,,,,,
0.6067,5.439613526570049e-06,4.56,8500,,,,,,,,,
,,4.56,8500,0.6454474925994873,6.0273,549.501,68.688,,,,,
0.606,5.171229200214708e-06,4.83,9000,,,,,,,,,
,,4.83,9000,0.6515025496482849,6.2116,533.196,66.649,,,,,
0.5959,4.902844873859367e-06,5.1,9500,,,,,,,,,
,,5.1,9500,0.6512770056724548,6.2874,526.766,65.846,,,,,
0.601,4.634460547504026e-06,5.37,10000,,,,,,,,,
,,5.37,10000,0.6489976048469543,5.9584,555.857,69.482,,,,,
0.6043,4.366612989801396e-06,5.64,10500,,,,,,,,,
,,5.64,10500,0.64485764503479,6.0491,547.519,68.44,,,,,
0.5969,4.098228663446055e-06,5.9,11000,,,,,,,,,
,,5.9,11000,0.6467708349227905,6.2072,533.578,66.697,,,,,
0.5943,3.829844337090714e-06,6.17,11500,,,,,,,,,
,,6.17,11500,0.6469480991363525,6.1641,537.303,67.163,,,,,
0.5943,3.5614600107353738e-06,6.44,12000,,,,,,,,,
,,6.44,12000,0.6548708081245422,5.7707,573.938,71.742,,,,,
0.5987,3.2936124530327428e-06,6.71,12500,,,,,,,,,
,,6.71,12500,0.6448161005973816,6.0775,544.957,68.12,,,,,
0.5994,3.0252281266774023e-06,6.98,13000,,,,,,,,,
,,6.98,13000,0.6442272663116455,5.7188,579.145,72.393,,,,,
0.5869,2.7568438003220615e-06,7.25,13500,,,,,,,,,
,,7.25,13500,0.6487972736358643,5.8064,570.409,71.301,,,,,
0.5959,2.4884594739667206e-06,7.51,14000,,,,,,,,,
,,7.51,14000,0.6439093351364136,5.8525,565.913,70.739,,,,,
0.5922,2.2206119162640905e-06,7.78,14500,,,,,,,,,
,,7.78,14500,0.644515335559845,5.799,571.128,71.391,,,,,
0.5883,1.9522275899087496e-06,8.05,15000,,,,,,,,,
,,8.05,15000,0.64539635181427,6.1657,537.168,67.146,,,,,
0.5897,1.6838432635534086e-06,8.32,15500,,,,,,,,,
,,8.32,15500,0.6452213525772095,5.8999,561.37,70.171,,,,,
0.5924,1.415458937198068e-06,8.59,16000,,,,,,,,,
,,8.59,16000,0.6457920670509338,6.1411,539.313,67.414,,,,,
0.5914,1.1476113794954375e-06,8.86,16500,,,,,,,,,
,,8.86,16500,0.6450211405754089,6.2645,528.693,66.087,,,,,
0.5945,8.792270531400967e-07,9.13,17000,,,,,,,,,
,,9.13,17000,0.6451196074485779,6.0463,547.772,68.472,,,,,
0.5846,6.108427267847558e-07,9.39,17500,,,,,,,,,
,,9.39,17500,0.6444507837295532,6.0102,551.059,68.882,,,,,
0.5887,3.424584004294149e-07,9.66,18000,,,,,,,,,
,,9.66,18000,0.6451740264892578,5.9769,554.131,69.266,,,,,
0.5887,7.461084272678476e-08,9.93,18500,,,,,,,,,
,,9.93,18500,0.645281970500946,5.9387,557.702,69.713,,,,,
,,10.0,18630,,,,,972.4329,306.52,19.158,2.607895630944768e+16,0.6071107500929124
