loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6915,9.892703862660943e-08,1.07,500,,,,,,,,,,,,,
,,1.07,500,0.6912247538566589,0.519927536231884,0.5315524583817267,0.7832287507130633,0.6333025830258303,8.0697,410.424,51.303,,,,,
0.6892,9.785407725321888e-08,2.15,1000,,,,,,,,,,,,,
,,2.15,1000,0.6896215081214905,0.5359299516908212,0.540268456375839,0.8265830005704506,0.6534385569334836,5.3658,617.247,77.156,,,,,
0.6864,9.678111587982832e-08,3.22,1500,,,,,,,,,,,,,
,,3.22,1500,0.6878321766853333,0.5477053140096618,0.5474506885001861,0.8391329150028523,0.6626126126126126,5.3737,616.333,77.042,,,,,
0.6834,9.570815450643777e-08,4.29,2000,,,,,,,,,,,,,
,,4.29,2000,0.6859622597694397,0.5513285024154589,0.5501691093573844,0.8351397604107245,0.6633439057544177,5.3554,618.436,77.304,,,,,
0.681,9.463519313304721e-08,5.36,2500,,,,,,,,,,,,,
,,5.36,2500,0.6841328144073486,0.5603864734299517,0.5560165975103735,0.840844266970907,0.6693914623069936,5.3645,617.387,77.173,,,,,
0.6776,9.356223175965665e-08,6.44,3000,,,,,,,,,,,,,
,,6.44,3000,0.6823871731758118,0.5673309178743962,0.5611153552330023,0.8379920136908158,0.6721574010523907,5.3638,617.469,77.184,,,,,
0.6738,9.24892703862661e-08,7.51,3500,,,,,,,,,,,,,
,,7.51,3500,0.6811804175376892,0.5691425120772947,0.5620243531202436,0.8425556189389618,0.674275279616526,5.3643,617.417,77.177,,,,,
0.6719,9.141630901287553e-08,8.58,4000,,,,,,,,,,,,,
,,8.58,4000,0.6793182492256165,0.5757850241545893,0.5685579196217494,0.8231602966343411,0.6725704963877884,5.3567,618.289,77.286,,,,,
0.6684,9.034334763948499e-08,9.66,4500,,,,,,,,,,,,,
,,9.66,4500,0.6783132553100586,0.5815217391304348,0.5721021611001965,0.8305761551625784,0.6775244299674268,5.3671,617.095,77.137,,,,,
0.6664,8.92725321888412e-08,10.73,5000,,,,,,,,,,,,,
,,10.73,5000,0.6769092679023743,0.5839371980676329,0.5743162901307967,0.8265830005704506,0.677736202057998,5.3798,615.636,76.954,,,,,
0.6639,8.820171673819742e-08,11.8,5500,,,,,,,,,,,,,
,,11.8,5500,0.6752960681915283,0.5914855072463768,0.5808407437348424,0.8197375926982317,0.6799148332150461,5.384,615.16,76.895,,,,,
0.6614,8.712875536480686e-08,12.88,6000,,,,,,,,,,,,,
