loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6997,9.892703862660943e-08,1.07,500,,,,,,,,,,,,,
,,1.07,500,0.6950748562812805,0.4867149758454106,0.5286486486486487,0.2789503707929264,0.36519790888722925,10.2966,321.659,40.207,,,,,
0.6961,9.785407725321888e-08,2.15,1000,,,,,,,,,,,,,
,,2.15,1000,0.6929150223731995,0.5102657004830918,0.5373219373219373,0.537934968625214,0.5376282782212086,5.2976,625.184,78.148,,,,,
0.6935,9.678111587982832e-08,3.22,1500,,,,,,,,,,,,,
,,3.22,1500,0.6913198828697205,0.5353260869565217,0.5440691927512356,0.753565316600114,0.6319062425257116,5.2984,625.092,78.137,,,,,
0.6908,9.570815450643777e-08,4.29,2000,,,,,,,,,,,,,
,,4.29,2000,0.6900465488433838,0.5329106280193237,0.5361657303370787,0.8710781517398745,0.6637687459247991,5.2983,625.105,78.138,,,,,
0.6886,9.463519313304721e-08,5.36,2500,,,,,,,,,,,,,
,,5.36,2500,0.68906569480896,0.5371376811594203,0.5364238410596026,0.9241300627495722,0.6788183532369578,5.287,626.446,78.306,,,,,
0.6868,9.356223175965665e-08,6.44,3000,,,,,,,,,,,,,
,,6.44,3000,0.68826824426651,0.5377415458937198,0.5358990944372575,0.9452367370222475,0.6840041279669763,5.2938,625.638,78.205,,,,,
0.6847,9.24892703862661e-08,7.51,3500,,,,,,,,,,,,,
,,7.51,3500,0.6875399351119995,0.5392512077294686,0.536296770067157,0.9566457501426127,0.6872950819672132,5.3015,624.731,78.091,,,,,
0.6834,9.141630901287553e-08,8.58,4000,,,,,,,,,,,,,
,,8.58,4000,0.6868519186973572,0.5398550724637681,0.5366869593079141,0.9555048488305762,0.6873204759950758,5.3423,619.952,77.494,,,,,
0.6814,9.034334763948499e-08,9.66,4500,,,,,,,,,,,,,
,,9.66,4500,0.6861410140991211,0.5410628019323671,0.5375685262818446,0.9509412435824302,0.6868562010712815,5.3286,621.556,77.694,,,,,
0.6799,8.927038626609442e-08,10.73,5000,,,,,,,,,,,,,
,,10.73,5000,0.6854439973831177,0.5401570048309179,0.5373619233268356,0.9435253850541928,0.6847443593458913,5.3038,624.456,78.057,,,,,
0.6779,8.819742489270385e-08,11.8,5500,,,,,,,,,,,,,
,,11.8,5500,0.6848130822181702,0.543780193236715,0.5396461336828309,0.939532230462065,0.6855359001040582,5.279,627.391,78.424,,,,,
0.6771,8.71244635193133e-08,12.88,6000,,,,,,,,,,,,,
,,12.88,6000,0.684012234210968,0.5507246376811594,0.5441813937979326,0.9309754706217912,0.6868686868686867,5.2901,626.072,78.259,,,,,
0.6751,8.605364806866952e-08,13.95,6500,,,,,,,,,,,,,
,,13.95,6500,0.683311402797699,0.5561594202898551,0.5478849407783418,0.9235596120935539,0.6877655055225149,5.2984,625.099,78.137,,,,,
0.6745,8.498068669527897e-08,15.02,7000,,,,,,,,,,,,,
,,15.02,7000,0.6825640201568604,0.5618961352657005,0.5522130013831259,0.9110096976611524,0.6876210979547901,5.3052,624.294,78.037,,,,,
0.6727,8.390772532188841e-08,16.09,7500,,,,,,,,,,,,,
,,16.09,7500,0.6818236112594604,0.5649154589371981,0.5548523206751055,0.9001711351968055,0.6865346965412225,5.3015,624.73,78.091,,,,,
0.6715,8.283476394849786e-08,17.17,8000,,,,,,,,,,,,,
,,17.17,8000,0.6810835599899292,0.5652173913043478,0.5557932263814617,0.8893325727324587,0.6840719613865731,5.2977,625.175,78.147,,,,,
0.6706,8.176394849785407e-08,18.24,8500,,,,,,,,,,,,,
,,18.24,8500,0.6802617907524109,0.5658212560386473,0.5577134481495053,0.8682258984597833,0.6791610887996431,5.2875,626.377,78.297,,,,,
0.6697,8.069098712446352e-08,19.31,9000,,,,,,,,,,,,,
,,19.31,9000,0.6794898509979248,0.5697463768115942,0.5612855007473841,0.8568168853394181,0.6782569428764958,5.2947,625.531,78.191,,,,,
0.6688,7.961802575107296e-08,20.39,9500,,,,,,,,,,,,,
,,20.39,9500,0.6787225008010864,0.5688405797101449,0.5623321825853471,0.8362806617227609,0.6724770642201835,5.3046,624.364,78.046,,,,,
0.6659,7.85450643776824e-08,21.46,10000,,,,,,,,,,,,,
,,21.46,10000,0.6781508326530457,0.5697463768115942,0.5632716049382716,0.8328579577866515,0.6720368239355581,5.2989,625.033,78.129,,,,,
0.6674,7.747210300429185e-08,22.53,10500,,,,,,,,,,,,,
,,22.53,10500,0.6774052977561951,0.5706521739130435,0.5651318378591106,0.8191671420422133,0.6688402421984163,5.2984,625.095,78.137,,,,,
0.6661,7.640128755364807e-08,23.61,11000,,,,,,,,,,,,,
,,23.61,11000,0.6766685247421265,0.571256038647343,0.5672727272727273,0.8009127210496292,0.6641438032166508,5.2915,625.908,78.238,,,,,
0.6642,7.532832618025751e-08,24.68,11500,,,,,,,,,,,,,
,,24.68,11500,0.6760841608047485,0.5754830917874396,0.5707874337005304,0.798060467769538,0.6655566127497621,5.3189,622.691,77.836,,,,,
0.6629,7.425536480686695e-08,25.75,12000,,,,,,,,,,,,,
,,25.75,12000,0.6754510402679443,0.5751811594202898,0.5717247097844113,0.7866514546491729,0.6621848739495798,5.2961,625.367,78.171,,,,,
0.6635,7.31824034334764e-08,26.82,12500,,,,,,,,,,,,,
,,26.82,12500,0.674834668636322,0.5766908212560387,0.5742699957680915,0.7741015402167712,0.6593780369290574,5.3038,624.462,78.058,,,,,
0.6622,7.21115879828326e-08,27.9,13000,,,,,,,,,,,,,
,,27.9,13000,0.6742805242538452,0.5797101449275363,0.5776344086021505,0.7661152310325157,0.6586562040215792,5.2976,625.184,78.148,,,,,
0.6622,7.103862660944206e-08,28.97,13500,,,,,,,,,,,,,
,,28.97,13500,0.6736925840377808,0.5833333333333334,0.5814054997817547,0.7598402738163149,0.658753709198813,5.3341,620.91,77.614,,,,,
0.6607,6.99656652360515e-08,30.04,14000,,,,,,,,,,,,,
,,30.04,14000,0.6731429696083069,0.5866545893719807,0.5851818988464951,0.7524244152880776,0.6583478911904168,5.2895,626.15,78.269,,,,,
0.6602,6.889270386266094e-08,31.12,14500,,,,,,,,,,,,,
,,31.12,14500,0.672621488571167,0.5860507246376812,0.585958595859586,0.7427267541357673,0.6550943396226415,5.2957,625.408,78.176,,,,,
0.6602,6.782188841201717e-08,32.19,15000,,,,,,,,,,,,,
,,32.19,15000,0.6721662878990173,0.5875603864734299,0.5878347707671358,0.7387335995436395,0.6547017189079879,5.2903,626.054,78.257,,,,,
0.6596,6.67489270386266e-08,33.26,15500,,,,,,,,,,,,,
,,33.26,15500,0.6717218160629272,0.5887681159420289,0.5893101873001371,0.7358813462635482,0.654490106544901,5.3172,622.881,77.86,,,,,
0.6585,6.567596566523604e-08,34.33,16000,,,,,,,,,,,,,
,,34.33,16000,0.6712568402290344,0.5896739130434783,0.5905330882352942,0.733029092983457,0.6541104606770172,5.2841,626.791,78.349,,,,,
0.6574,6.460300429184548e-08,35.41,16500,,,,,,,,,,,,,
,,35.41,16500,0.6708407402038574,0.5914855072463768,0.5930232558139535,0.7273245864232744,0.6533435818601077,5.3028,624.574,78.072,,,,,
0.6581,6.353218884120172e-08,36.48,17000,,,,,,,,,,,,,
,,36.48,17000,0.6704345345497131,0.5942028985507246,0.5965989607935758,0.7204791785510554,0.6527131782945736,5.2904,626.04,78.255,,,,,
0.6568,6.245922746781115e-08,37.55,17500,,,,,,,,,,,,,
,,37.55,17500,0.6700166463851929,0.5945048309178744,0.5972485768500949,0.7181973759269823,0.6521626521626522,5.3225,622.265,77.783,,,,,
0.6561,6.13862660944206e-08,38.63,18000,,,,,,,,,,,,,
